Window,Label,Max_Acc,Mean_Acc,Std_Acc,Max_Gyro,Mean_Gyro,Std_Gyro,Rep_Count,Smoothness
0,5,0.0565946,0.0180584,0.010999,0.0858092,0.0341101,0.0209271,0,0.00166694
1,5,0.0274604,0.0112929,0.00630439,0.0566921,0.022786,0.0105617,0,0.00165516
2,5,0.0204617,0.00978889,0.00410254,0.0566921,0.0270031,0.00933546,0,0.00192671
3,5,0.0204617,0.00882165,0.00439672,0.0406646,0.0214562,0.00864173,0,0.00182165
4,5,0.0164469,0.00667996,0.00350329,0.0497137,0.0184196,0.0077282,0,0.00150612
5,5,0.0121461,0.00617981,0.0027719,0.0497137,0.0177525,0.00912792,0,0.0014806
6,5,0.0279284,0.00850683,0.0050732,0.0467948,0.0181328,0.0100967,0,0.00198016
7,5,0.0279284,0.011917,0.00631549,0.0467948,0.0190939,0.00891544,0,0.00191536
8,5,0.0276963,0.00981352,0.00603627,0.0386332,0.0143957,0.00673971,0,0.00188132
9,5,0.0193382,0.00874321,0.00434499,0.0536705,0.0190758,0.0124248,0,0.0023867
10,5,0.0193382,0.00831103,0.00449237,0.0536705,0.0183742,0.0124333,0,0.00201904
11,5,0.0124433,0.00601603,0.00261199,0.0234322,0.00964646,0.00422067,0,0.00136547
12,5,0.0124433,0.00582884,0.00252929,0.017344,0.00769403,0.00328431,0,0.00144258
13,5,0.010689,0.00536028,0.00219331,0.0150174,0.00637621,0.0027363,0,0.00147107
14,5,0.0950648,0.0367468,0.0313664,0.326497,0.158181,0.0645852,2,0.00208085
15,5,0.0220544,0.0095297,0.00418926,0.14975,0.0705055,0.0429429,0,0.00133997
16,5,0.01579,0.00796935,0.00356651,0.0652528,0.0308209,0.011555,0,0.00130267
17,5,0.0164726,0.0059152,0.00324398,0.0398082,0.022973,0.00793363,0,0.00155141
18,5,0.0164726,0.0046697,0.00237347,0.0295458,0.0151692,0.00515525,0,0.00154135
19,5,0.010977,0.00492677,0.00211922,0.022798,0.0104334,0.00440716,0,0.00121638
20,5,0.0124304,0.00476698,0.00226741,0.0137615,0.0070424,0.00242308,0,0.00141667
21,5,0.0136583,0.0049545,0.00235246,0.0165191,0.00695462,0.00272681,0,0.00156704
22,5,0.0136583,0.00563514,0.00239721,0.0165191,0.00642469,0.00297414,0,0.00161615
23,5,0.0135887,0.00586621,0.00253967,0.0153759,0.0066761,0.00310516,0,0.00154886
24,5,0.0146212,0.00621441,0.00282695,0.0153759,0.00828255,0.00330293,0,0.00162453
25,5,0.0146212,0.00568423,0.00292517,0.0205795,0.00870028,0.00393603,0,0.00171114
26,5,0.0133843,0.0047291,0.00230943,0.0205795,0.00815954,0.0041348,0,0.00161328
27,4,0.48633,0.156081,0.151508,0.196453,0.125946,0.0180272,1,0.00410872
28,4,0.0572804,0.0265225,0.014422,0.146434,0.10535,0.0271139,1,0.00150769
29,4,0.0349964,0.0120746,0.00722422,0.115133,0.0611486,0.0263555,0,0.00141944
30,4,0.327804,0.0670146,0.0924326,1.1469,0.311369,0.390818,1,0.0137399
31,4,0.346213,0.172086,0.0956666,1.1469,0.39736,0.3451,2,0.0135577
32,4,0.346213,0.133368,0.096779,0.444585,0.145517,0.102968,1,0.00820082
33,4,0.0983858,0.0328739,0.0214779,0.147279,0.0657734,0.0194421,1,0.00219547
34,4,0.0391032,0.0128208,0.00988413,0.0695549,0.0390408,0.0151817,0,0.00152535
35,4,0.0146667,0.00585836,0.0027254,0.0398411,0.0192879,0.00888794,0,0.00134795
36,4,0.0109422,0.00455363,0.00206946,0.0240974,0.0100311,0.00521325,0,0.00130573
37,4,0.0149116,0.00491334,0.00270835,0.0240974,0.00738191,0.0038561,0,0.00130965
38,4,0.0687255,0.0293712,0.0118465,0.50609,0.365298,0.0891093,1,0.00249751
39,4,0.0413284,0.0150841,0.0115275,0.392456,0.208756,0.0938652,2,0.00143042
40,4,0.0144741,0.00663774,0.00267521,0.202056,0.0798554,0.0593241,0,0.0012014
41,4,0.0154118,0.00647185,0.0030247,0.0664459,0.0211391,0.0144129,0,0.0014919
42,4,0.0154118,0.00733183,0.00322044,0.0441216,0.018288,0.00925004,0,0.00157103
43,4,0.0179162,0.00847902,0.00314149,0.0441216,0.022718,0.00761093,0,0.00142838
44,4,0.0179162,0.0076015,0.00299694,0.0331164,0.0154052,0.00708755,0,0.0013363
45,4,0.0141173,0.00661285,0.00232542,0.0224258,0.0103443,0.00473434,0,0.00114752
46,4,0.0141173,0.00623045,0.00221841,0.0224258,0.0092873,0.00484669,0,0.00120572
47,4,0.0135299,0.00643402,0.0025346,0.0201233,0.0084497,0.00374711,0,0.00139427
48,4,0.0135299,0.00674339,0.00283471,0.0201233,0.00891604,0.00382654,0,0.00152267
49,4,0.013225,0.00694427,0.00284203,0.025925,0.00952685,0.00425226,0,0.00133743
50,4,0.0134757,0.00714079,0.00274988,0.0328818,0.0102418,0.00493905,0,0.00132522
51,6,0.165597,0.0365644,0.0328757,0.519927,0.218978,0.102427,2,0.00844047
52,6,0.0276163,0.00851351,0.00586018,0.200238,0.086017,0.0560128,0,0.0016805
53,6,0.0121176,0.00492157,0.00261574,0.0781143,0.0298198,0.0163498,0,0.00163941
54,6,0.010901,0.00440471,0.00213571,0.0328063,0.0214183,0.00559899,0,0.00139378
55,6,0.0123104,0.00455694,0.00221518,0.0322279,0.0191838,0.00485347,0,0.00147916
56,6,0.0166193,0.00511177,0.00265705,0.0232178,0.0155782,0.00390789,0,0.00177684
57,6,0.0166193,0.0051151,0.00257232,0.022059,0.0113597,0.00512038,0,0.00168942
58,6,0.0189815,0.00516197,0.00286842,0.0190479,0.00800195,0.00309175,0,0.00166689
59,6,0.0189815,0.00567704,0.00302199,0.0182535,0.00718828,0.002935,0,0.00176891
60,6,0.0128464,0.00564372,0.00267106,0.0146512,0.0069714,0.00267628,0,0.0017719
61,6,0.0128129,0.00505768,0.0024474,0.0130745,0.00739342,0.00240027,0,0.00162357
62,6,0.0114147,0.00496259,0.00213994,0.0164338,0.00775977,0.00295426,0,0.00137753
63,6,0.0108578,0.00514947,0.00212215,0.0164338,0.00803718,0.00339557,0,0.00151167
64,6,0.474545,0.0990891,0.109157,0.758468,0.383351,0.108999,1,0.0121224
65,6,0.0561597,0.0236913,0.0162747,0.404728,0.243698,0.0848453,3,0.00181415
66,6,0.578558,0.168328,0.197752,2.26818,0.391351,0.423174,2,0.0260252
67,6,0.578558,0.221592,0.162642,2.26818,0.441585,0.408897,2,0.0246401
68,6,0.259415,0.114512,0.0427498,0.593346,0.195785,0.130353,1,0.00710148
69,6,0.306838,0.12862,0.0571019,2.22279,0.278692,0.301965,2,0.0187481
70,6,1.04554,0.323529,0.242628,3.53723,0.582569,0.681603,2,0.0494864
71,6,1.04554,0.445441,0.17843,3.53723,0.502327,0.673586,2,0.050564
72,6,0.573467,0.232187,0.176127,0.827102,0.261459,0.152114,2,0.0104683
73,6,0.211556,0.055568,0.0479185,0.295859,0.205023,0.0514965,0,0.00298783
74,6,0.0600268,0.0210069,0.0178212,0.221256,0.123567,0.048145,2,0.00193517
75,6,0.0221783,0.00770689,0.00371234,0.112104,0.0512486,0.0348272,0,0.00130555
76,6,0.0156004,0.00745243,0.00334906,0.0626928,0.0163263,0.0123756,0,0.00141897
77,6,0.0142283,0.00685934,0.00278116,0.0267618,0.0118091,0.00528806,0,0.00151979
78,1,0.698104,0.268461,0.142156,1.87258,0.936794,0.445892,4,0.0655816
79,1,0.698104,0.301873,0.146682,1.76008,0.833885,0.42034,5,0.0702675
80,1,0.617937,0.290425,0.13855,1.63889,0.878649,0.380418,5,0.0702331
81,1,0.713246,0.319928,0.150046,2.34361,0.922358,0.487559,4,0.0713326
82,1,0.713246,0.328113,0.147117,2.34361,0.949336,0.51184,5,0.0702359
83,1,0.690202,0.318606,0.142195,1.94112,0.835878,0.446361,4,0.0643209
84,1,0.690202,0.312439,0.142854,1.86517,0.780325,0.398966,5,0.0670286
85,1,0.70979,0.306323,0.143469,1.98053,0.828627,0.402712,5,0.0745535
86,1,0.658478,0.287178,0.126923,1.82668,0.762618,0.414002,5,0.0580573
87,1,0.689305,0.308357,0.141373,1.82668,0.79732,0.400394,5,0.0667775
88,1,0.689305,0.300748,0.138279,1.65074,0.789815,0.383879,4,0.0618345
89,1,0.727135,0.309265,0.139382,1.96818,0.81262,0.399831,4,0.0655541
90,1,0.727135,0.323434,0.146793,1.96818,0.897415,0.424805,6,0.0682181
91,1,0.880077,0.338977,0.159638,2.01,0.874128,0.445458,4,0.0755044
92,1,0.880077,0.33285,0.157342,2.01,0.821598,0.39444,5,0.072259
93,1,0.689857,0.323791,0.144546,2.106,0.850159,0.421272,4,0.0652935
94,1,0.689857,0.320164,0.147688,2.106,0.847941,0.47534,4,0.0700673
95,1,0.665045,0.314365,0.147663,2.01574,0.851169,0.468947,4,0.0649246
96,1,0.69002,0.306427,0.14178,2.02357,0.881443,0.482543,5,0.0655085
97,1,0.69002,0.274541,0.136948,2.02357,0.838661,0.459501,4,0.0643759
98,1,0.726215,0.329209,0.148479,1.97126,0.932275,0.396178,5,0.0792703
99,1,0.726215,0.342664,0.152219,1.77913,0.844809,0.409975,5,0.0804545
100,1,0.670135,0.329897,0.141624,1.78053,0.783651,0.413243,5,0.0699965
101,1,1.03229,0.330757,0.155872,2.0706,0.861823,0.461905,4,0.0849568
102,1,1.03229,0.316392,0.161018,2.10676,0.884395,0.47421,4,0.0854716
103,1,0.870839,0.320885,0.163666,2.10676,0.879668,0.476355,5,0.0795801
104,1,0.870839,0.321282,0.156983,2.06776,0.832904,0.43862,5,0.0703286
105,1,0.662872,0.315352,0.144509,1.83653,0.765764,0.406338,5,0.0614852
106,1,0.730523,0.323026,0.156572,2.00749,0.817026,0.439352,5,0.0731643
107,1,0.758472,0.329145,0.151655,2.00749,0.860801,0.431313,4,0.0732044
108,1,0.758472,0.322286,0.138166,1.78229,0.868239,0.426395,4,0.0651017
109,1,0.651983,0.309294,0.140106,2.27976,0.879068,0.455748,5,0.0639873
110,1,0.651983,0.295195,0.139373,2.27976,0.845268,0.456341,5,0.0624341
111,1,0.806559,0.335238,0.171628,2.23781,1.048,0.506658,6,0.0727594
112,1,0.730447,0.307049,0.141707,2.05707,0.884083,0.443014,4,0.0663457
113,1,0.730447,0.301917,0.134434,1.99277,0.842467,0.422643,5,0.065037
114,1,0.697428,0.308966,0.144034,1.99277,0.859357,0.441454,5,0.0674737
115,1,0.697428,0.316494,0.148819,1.91836,0.831101,0.456312,4,0.0703411
116,1,0.690368,0.322001,0.140234,1.91836,0.799679,0.420699,5,0.0652805
117,1,0.615965,0.303868,0.133301,1.61099,0.778589,0.372176,5,0.0628307
118,1,0.615965,0.26408,0.127763,1.9523,0.76867,0.396946,5,0.0618843
119,1,0.60336,0.259658,0.129392,1.9523,0.732829,0.429302,5,0.0595205
120,1,0.704553,0.26205,0.131014,1.97438,0.719901,0.42269,5,0.0573294
121,1,0.704553,0.261049,0.128465,1.97438,0.78839,0.414299,4,0.0548795
122,1,0.752657,0.279115,0.137361,2.0044,0.88864,0.387745,5,0.0595733
123,1,0.752657,0.288798,0.139352,2.0044,0.871443,0.426561,4,0.06119
124,1,0.66591,0.274617,0.129902,2.19521,0.756108,0.475932,4,0.0587578
125,3,0.834191,0.286901,0.151317,1.56806,0.602835,0.292134,4,0.0736756
